initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,bug_detection,mode
ES,30,Chart,1,0,60,no,-
ES,30,Chart,1,1,60,no,-
ES,30,Chart,1,2,60,no,-
ES,30,Chart,1,3,60,no,-
ES,30,Chart,1,4,60,no,-
ES,30,Chart,2,0,60,no,-
ES,30,Chart,2,1,60,no,-
ES,30,Chart,2,2,60,no,-
ES,30,Chart,2,3,60,no,-
ES,30,Chart,2,4,60,no,-
ES,30,Chart,3,0,60,yes,seq-c
ES,30,Chart,3,1,60,no,-
ES,30,Chart,3,2,60,no,-
ES,30,Chart,3,3,60,no,-
ES,30,Chart,3,4,60,no,-
ES,30,Chart,4,0,60,no,-
ES,30,Chart,4,1,60,no,-
ES,30,Chart,4,2,60,no,-
ES,30,Chart,4,3,60,no,-
ES,30,Chart,4,4,60,yes,seq-p
ES,30,Chart,5,0,60,yes,seq-p
ES,30,Chart,5,1,60,yes,seq-p
ES,30,Chart,5,2,60,yes,seq-p
ES,30,Chart,5,3,60,yes,seq-p
ES,30,Chart,5,4,60,yes,seq-p
ES,30,Chart,6,0,60,no,-
ES,30,Chart,6,1,60,yes,seq-p
ES,30,Chart,6,2,60,no,-
ES,30,Chart,6,3,60,no,-
ES,30,Chart,6,4,60,no,-
ES,30,Chart,7,0,60,no,-
ES,30,Chart,7,1,60,no,-
ES,30,Chart,7,2,60,no,-
ES,30,Chart,7,3,60,no,-
ES,30,Chart,7,4,60,no,-
ES,30,Chart,8,0,60,yes,seq-p
ES,30,Chart,8,1,60,yes,seq-p
ES,30,Chart,8,2,60,yes,seq-p
ES,30,Chart,8,3,60,yes,both
ES,30,Chart,8,4,60,yes,seq-p
ES,30,Chart,9,0,60,no,-
ES,30,Chart,9,1,60,no,-
ES,30,Chart,9,2,60,no,-
ES,30,Chart,9,3,60,no,-
ES,30,Chart,9,4,60,no,-
ES,30,Chart,10,0,60,yes,both
ES,30,Chart,10,1,60,yes,seq-p
ES,30,Chart,10,2,60,yes,seq-p
ES,30,Chart,10,3,60,yes,seq-p
ES,30,Chart,10,4,60,yes,seq-p
ES,30,Chart,11,0,60,yes,seq-p
ES,30,Chart,11,1,60,yes,seq-p
ES,30,Chart,11,2,60,yes,seq-p
ES,30,Chart,11,3,60,yes,seq-p
ES,30,Chart,11,4,60,yes,seq-p
ES,30,Chart,12,0,60,no,-
ES,30,Chart,12,1,60,no,-
ES,30,Chart,12,2,60,no,-
ES,30,Chart,12,3,60,no,-
ES,30,Chart,12,4,60,no,-
ES,30,Chart,13,0,60,no,-
ES,30,Chart,13,1,60,no,-
ES,30,Chart,13,2,60,no,-
ES,30,Chart,13,3,60,no,-
ES,30,Chart,13,4,60,no,-
ES,30,Chart,14,0,60,yes,both
ES,30,Chart,14,1,60,yes,both
ES,30,Chart,14,2,60,yes,both
ES,30,Chart,14,3,60,yes,both
ES,30,Chart,14,4,60,yes,both
ES,30,Chart,15,0,60,yes,both
ES,30,Chart,15,1,60,yes,both
ES,30,Chart,15,2,60,yes,both
ES,30,Chart,15,3,60,yes,both
ES,30,Chart,15,4,60,yes,seq-p
ES,30,Chart,16,0,60,yes,seq-p
ES,30,Chart,16,1,60,yes,seq-p
ES,30,Chart,16,2,60,yes,both
ES,30,Chart,16,3,60,yes,both
ES,30,Chart,16,4,60,yes,both
ES,30,Chart,17,0,60,yes,seq-p
ES,30,Chart,17,1,60,yes,both
ES,30,Chart,17,2,60,yes,both
ES,30,Chart,17,3,60,yes,both
ES,30,Chart,17,4,60,yes,both
ES,30,Chart,18,0,60,yes,both
ES,30,Chart,18,1,60,yes,both
ES,30,Chart,18,2,60,yes,both
ES,30,Chart,18,3,60,yes,both
ES,30,Chart,18,4,60,yes,both
ES,30,Chart,19,0,60,yes,both
ES,30,Chart,19,1,60,yes,both
ES,30,Chart,19,2,60,no,-
ES,30,Chart,19,3,60,yes,both
ES,30,Chart,19,4,60,yes,both
ES,30,Chart,20,0,60,no,-
ES,30,Chart,20,1,60,no,-
ES,30,Chart,20,2,60,no,-
ES,30,Chart,20,3,60,no,-
ES,30,Chart,20,4,60,no,-
ES,30,Chart,21,0,60,no,-
ES,30,Chart,21,1,60,no,-
ES,30,Chart,21,2,60,no,-
ES,30,Chart,21,3,60,no,-
ES,30,Chart,21,4,60,yes,seq-p
ES,30,Chart,22,0,60,yes,both
ES,30,Chart,22,1,60,yes,both
ES,30,Chart,22,2,60,yes,both
ES,30,Chart,22,3,60,yes,both
ES,30,Chart,22,4,60,yes,both
ES,30,Chart,23,0,60,no,-
ES,30,Chart,23,1,60,yes,both
ES,30,Chart,23,2,60,yes,both
ES,30,Chart,23,3,60,yes,both
ES,30,Chart,23,4,60,yes,both
ES,30,Chart,24,0,60,yes,both
ES,30,Chart,24,1,60,yes,both
ES,30,Chart,24,2,60,yes,seq-p
ES,30,Chart,24,3,60,yes,both
ES,30,Chart,24,4,60,yes,seq-p
ES,30,Chart,25,0,60,no,-
ES,30,Chart,25,1,60,no,-
ES,30,Chart,25,2,60,no,-
ES,30,Chart,25,3,60,no,-
ES,30,Chart,25,4,60,no,-
ES,30,Chart,26,0,60,no,-
ES,30,Chart,26,1,60,no,-
ES,30,Chart,26,2,60,no,-
ES,30,Chart,26,3,60,no,-
ES,30,Chart,26,4,60,no,-
ES,30,Cli,1,0,60,yes,seq-p
ES,30,Cli,1,1,60,yes,seq-p
ES,30,Cli,1,2,60,yes,seq-p
ES,30,Cli,1,3,60,yes,seq-p
ES,30,Cli,1,4,60,yes,seq-p
ES,30,Cli,2,0,60,no,-
ES,30,Cli,2,1,60,no,-
ES,30,Cli,2,2,60,no,-
ES,30,Cli,2,3,60,no,-
ES,30,Cli,2,4,60,no,-
ES,30,Cli,3,0,60,no,-
ES,30,Cli,3,1,60,no,-
ES,30,Cli,3,2,60,no,-
ES,30,Cli,3,3,60,no,-
ES,30,Cli,3,4,60,no,-
